cargo,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,delta_2036_2026
Руды всякие,0.0,0.0,0.0,0.0,0.0,0.0,50.40000945753564,45.26996184139317,40.952289965805996,39.578384348832614,38.448038147635664,38.448038147635664
nan,12.298933764600003,13.0070827646,13.3285627646,13.4178627646,13.4446527646,14.1501227646,15.4090604124,15.4090604124,15.637938098400001,15.816538098399999,15.879048098399998,3.5801143337999957
Кокс каменноугольный,6.746405051011492,6.427969793646803,6.176736231159516,5.8408367301581485,5.469677100718016,5.155321680117782,4.681464734335713,4.261394105326048,3.8563072809563876,3.7316067546579244,3.6721098766252815,-3.0742951743862106
Лесные грузы,21.147691609859788,20.304112840172035,19.28646153986435,18.11424620225425,16.82111388437903,15.515582043874703,14.104126692293539,12.599456996853766,11.331045799061565,10.922151479290562,10.577938422529517,-10.56975318733027
Удобрения,63.503966096646344,63.69364560755753,62.94283857786182,61.48562430303146,59.27482614418568,56.431348398233006,52.97032902807703,48.93507862404782,45.489652662676605,45.14685372741739,45.00967597774563,-18.494290118900715
Минерально-строит.,53.83856960791411,50.9902701933608,48.610504560881665,45.857486184063795,42.786289361886766,39.41641887527217,35.83090820665613,32.099646029082976,29.068807677808746,28.069621400121846,27.20477785609625,-26.63379175181786
Черные металлы,77.93725309409834,74.83669547195105,71.14996741408649,66.88576461294687,62.24281434784089,57.27139457499259,52.0090387145045,46.535761754385376,41.92289907412901,40.36817692674091,39.09934815666645,-38.83790493743189
Нефтяные грузы,172.80117260774585,166.18321677859464,158.31908401119935,149.20731951529578,139.34462539860522,128.3833051158001,116.81728388262702,104.60237695586424,94.54848973268807,91.21860471029812,88.5646432557474,-84.23652935199846
Уголь каменный,194.53884779350687,187.53245183524405,179.0061469772242,169.00831648161363,157.82760279398227,145.54195431370493,132.8116134399832,119.23803541675238,107.80015541808969,104.1197032041108,101.10785065516102,-93.43099713834586
Остальные грузы,279.03139961918845,263.5268375524289,249.85188500153538,237.18638279233102,225.0781873954723,212.97415493994538,200.02815750770972,185.76579268133906,174.15443750072012,174.58423843720755,175.9408188199002,-103.09058079928826
