year,cargo,forecast_mln_t
2026,Кокс каменноугольный,8.604123838036662
2026,Лесные грузы,19.98875995434609
2026,Минерально-строит.,96.66434444861726
2026,Нефтяные грузы,176.7245278150511
2026,Остальные грузы,286.9038870131976
2026,Руды всякие,105.6988572968004
2026,Уголь каменный,254.43395435749795
2026,Удобрения,59.18184510807698
2026,Хлебные грузы,31.389286671701818
2026,Черные металлы,46.44303924217492
2027,Кокс каменноугольный,8.198002893912195
2027,Лесные грузы,19.1914108232471
2027,Минерально-строит.,91.55037136749172
2027,Нефтяные грузы,169.95631495307896
2027,Остальные грузы,270.62209555500215
2027,Руды всякие,101.93874551019586
2027,Уголь каменный,245.27041170432352
2027,Удобрения,59.358614908845574
2027,Хлебные грузы,31.933554532242812
2027,Черные металлы,44.59540780019746
2028,Кокс каменноугольный,7.87758858917257
2028,Лесные грузы,18.229528650272982
2028,Минерально-строит.,87.27762626151606
2028,Нефтяные грузы,161.91363139358958
2028,Остальные грузы,256.3536376011432
2028,Руды всякие,97.35018490052622
2028,Уголь каменный,234.1190068014518
2028,Удобрения,58.6589082909962
2028,Хлебные грузы,32.29108514921093
2028,Черные металлы,42.39847566480511
2029,Кокс каменноугольный,7.44919437300893
2029,Лесные грузы,17.121552828109646
2029,Минерально-строит.,82.33472531544454
2029,Нефтяные грузы,152.59498931610912
2029,Остальные грузы,243.3585482771026
2029,Руды всякие,91.95603097318781
2029,Уголь каменный,221.04301927070273
2029,Удобрения,57.30087296181628
2029,Хлебные грузы,32.24100311797317
2029,Черные металлы,39.85742462479976
2030,Кокс каменноугольный,6.975830649479774
2030,Лесные грузы,15.89928649436173
2030,Минерально-строит.,76.82055156137848
2030,Нефтяные грузы,142.50836817544743
2030,Остальные грузы,230.93526824160847
2030,Руды всякие,85.91254258348368
2030,Уголь каменный,206.4199595150358
2030,Удобрения,55.24591916112257
2030,Хлебные грузы,31.717841628737293
2030,Черные металлы,37.09067685269856
2031,Кокс каменноугольный,6.574912983322599
2031,Лесные грузы,14.665300154196364
2031,Минерально-строит.,70.77012481643281
2031,Нефтяные грузы,131.29817716820514
2031,Остальные грузы,218.4094368701388
2031,Руды всякие,79.34200439634296
2031,Уголь каменный,190.54092169391174
2031,Удобрения,52.5905943427449
2031,Хлебные грузы,30.82564023738986
2031,Черные металлы,34.12819313106992
2032,Кокс каменноугольный,5.970572773656198
2032,Лесные грузы,13.33119510247152
2032,Минерально-строит.,64.33252736874087
2032,Нефтяные грузы,119.46955580941844
2032,Остальные грузы,205.13304655088075
2032,Руды всякие,72.34289662114547
2032,Уголь каменный,173.6460809103439
2032,Удобрения,49.36513418850986
2032,Хлебные грузы,29.55999573124442
2032,Черные металлы,30.992339735776923
2033,Кокс каменноугольный,5.434829709699608
2033,Лесные грузы,11.908984021111607
2033,Минерально-строит.,57.63324068657741
2033,Нефтяные грузы,106.97731616566855
2033,Остальные грузы,190.50669401978388
2033,Руды всякие,64.97935624981207
2033,Уголь каменный,155.89914924815218
2033,Удобрения,45.60452553581387
2033,Хлебные грузы,27.836704444228875
2033,Черные металлы,27.73079783443228
2034,Кокс каменноугольный,4.91819645455419
2034,Лесные грузы,10.71008404546358
2034,Минерально-строит.,52.191528462622166
2034,Нефтяные грузы,96.69516098461082
2034,Остальные грузы,178.59900715978313
2034,Руды всякие,58.78187943380469
2034,Уголь каменный,140.94456068283733
2034,Удобрения,42.39359749288039
2034,Хлебные грузы,26.35601366895898
2034,Черные металлы,24.98197934298184
2035,Кокс каменноугольный,4.759157860988056
2035,Лесные грузы,10.323597872155306
2035,Минерально-строит.,50.39754160119448
2035,Нефтяные грузы,93.2896727614719
2035,Остальные грузы,179.03977698244515
2035,Руды всякие,56.80981012100706
2035,Уголь каменный,136.13251084486114
2035,Удобрения,42.074129674778305
2035,Хлебные грузы,26.545769818941547
2035,Черные металлы,24.0555158247636
2036,Кокс каменноугольный,4.68327766958261
2036,Лесные грузы,9.998248311944186
2036,Минерально-строит.,48.84476011307775
2036,Нефтяные грузы,90.57545457755086
2036,Остальные грузы,180.43097845257904
2036,Руды всякие,55.18733982269902
2036,Уголь каменный,132.1858398447632
2036,Удобрения,41.946288331436165
2036,Хлебные грузы,26.858275018829662
2036,Черные металлы,23.299417014236866
