ds,cargo,forecast_kt
2026-01-01,Кокс каменноугольный,679.1133347727161
2026-02-01,Кокс каменноугольный,686.2323155061317
2026-03-01,Кокс каменноугольный,767.5831848213999
2026-04-01,Кокс каменноугольный,745.6876455857453
2026-05-01,Кокс каменноугольный,763.6647175787599
2026-06-01,Кокс каменноугольный,726.7762915432916
2026-07-01,Кокс каменноугольный,739.408534403518
2026-08-01,Кокс каменноугольный,727.0030283534335
2026-09-01,Кокс каменноугольный,699.2351123900163
2026-10-01,Кокс каменноугольный,677.072246316886
2026-11-01,Кокс каменноугольный,690.9963201671108
2026-12-01,Кокс каменноугольный,701.3511065976523
2027-01-01,Кокс каменноугольный,659.8932784833954
2027-02-01,Кокс каменноугольный,631.0368659339807
2027-03-01,Кокс каменноугольный,725.8109855799618
2027-04-01,Кокс каменноугольный,686.1587830354864
2027-05-01,Кокс каменноугольный,702.3190392953954
2027-06-01,Кокс каменноугольный,671.3232240307093
2027-07-01,Кокс каменноугольный,706.3674111707568
2027-08-01,Кокс каменноугольный,697.3786401888729
2027-09-01,Кокс каменноугольный,672.4336534043938
2027-10-01,Кокс каменноугольный,674.496675623096
2027-11-01,Кокс каменноугольный,674.6402330473253
2027-12-01,Кокс каменноугольный,696.1441041188215
2028-01-01,Кокс каменноугольный,649.4545642262623
2028-02-01,Кокс каменноугольный,618.1344500216258
2028-03-01,Кокс каменноугольный,703.4093436294911
2028-04-01,Кокс каменноугольный,656.3784663364021
2028-05-01,Кокс каменноугольный,681.6511987006976
2028-06-01,Кокс каменноугольный,641.5186803082433
2028-07-01,Кокс каменноугольный,673.3539484530813
2028-08-01,Кокс каменноугольный,659.4545337061157
2028-09-01,Кокс каменноугольный,637.9747348891568
2028-10-01,Кокс каменноугольный,639.2095782766628
2028-11-01,Кокс каменноугольный,650.9126306289985
2028-12-01,Кокс каменноугольный,666.1364599958323
2029-01-01,Кокс каменноугольный,621.5305754611305
2029-02-01,Кокс каменноугольный,585.3062413282837
2029-03-01,Кокс каменноугольный,671.0860717326157
2029-04-01,Кокс каменноугольный,624.7653874081939
2029-05-01,Кокс каменноугольный,648.3388994842725
2029-06-01,Кокс каменноугольный,600.3609826687587
2029-07-01,Кокс каменноугольный,634.4277601995001
2029-08-01,Кокс каменноугольный,618.8120307935626
