ds,cargo,forecast_kt
2026-01-01,Всего,88980.85714261621
2026-02-01,Всего,85795.6391170296
2026-03-01,Всего,95739.16637318273
2026-04-01,Всего,91678.07564690191
2026-05-01,Всего,93243.71028144122
2026-06-01,Всего,88232.05114182385
2026-07-01,Всего,90015.49664463967
2026-08-01,Всего,90595.60469639384
2026-09-01,Всего,88518.67108479302
2026-10-01,Всего,92338.137955488
2026-11-01,Всего,89889.65790587403
2026-12-01,Всего,91005.55775531672
2027-01-01,Всего,85744.65675290118
2027-02-01,Всего,82171.29718023547
2027-03-01,Всего,92068.22782477221
2027-04-01,Всего,87934.66601488015
2027-05-01,Всего,89421.95658548153
2027-06-01,Всего,84447.0990979532
2027-07-01,Всего,86378.55869454137
2027-08-01,Всего,86908.11851905164
2027-09-01,Всего,84949.71209131197
2027-10-01,Всего,88909.49569395914
2027-11-01,Всего,86371.16008526427
2027-12-01,Всего,87309.98150818521
2028-01-01,Всего,82049.91820890628
2028-02-01,Всего,78553.42073387482
2028-03-01,Всего,88340.88922346459
2028-04-01,Всего,84215.67161669643
2028-05-01,Всего,85670.66299973108
2028-06-01,Всего,80681.9032347929
2028-07-01,Всего,82517.02914718376
2028-08-01,Всего,83008.52098831619
2028-09-01,Всего,81000.51629203177
2028-10-01,Всего,84856.4673800864
2028-11-01,Всего,82320.83358293044
2028-12-01,Всего,83253.83989466995
2029-01-01,Всего,77987.06088489982
2029-02-01,Всего,74457.64474841168
2029-03-01,Всего,84151.64514027818
2029-04-01,Всего,80015.27922695105
2029-05-01,Всего,81427.29300211169
2029-06-01,Всего,76436.02426588739
2029-07-01,Всего,78232.6118394362
2029-08-01,Всего,78683.24125944907
2029-09-01,Всего,76664.90219115272
2029-10-01,Всего,80474.91003956602
2029-11-01,Всего,77919.87039397215
2029-12-01,Всего,78806.87806613863
2030-01-01,Всего,73534.64533265679
2030-02-01,Всего,69997.74574939665
2030-03-01,Всего,79595.70326567197
2030-04-01,Всего,75452.29982329006
2030-05-01,Всего,76823.99862257019
2030-06-01,Всего,71827.01478162117
2030-07-01,Всего,73571.77963839688
2030-08-01,Всего,73982.34321960967
2030-09-01,Всего,71944.15253681957
2030-10-01,Всего,75695.04917897454
2030-11-01,Всего,73125.47443023382
2030-12-01,Всего,73976.03828411245
2031-01-01,Всего,68697.54789123993
2031-02-01,Всего,65146.79828519204
2031-03-01,Всего,74650.48826706235
2031-04-01,Всего,70498.61289825253
2031-05-01,Всего,71829.51878114833
2031-06-01,Всего,66827.05596243331
2031-07-01,Всего,68523.42953625429
2031-08-01,Всего,68893.87702043194
2031-09-01,Всего,66837.79680665127
2031-10-01,Всего,70533.12270686009
2031-11-01,Всего,67947.54228876237
2031-12-01,Всего,68759.5153494667
2032-01-01,Всего,63474.457000835646
2032-02-01,Всего,59910.97751331311
2032-03-01,Всего,69321.13432810505
2032-04-01,Всего,65160.66412099147
2032-05-01,Всего,66451.03568096942
2032-06-01,Всего,61442.52809383005
2032-07-01,Всего,63090.00502764175
2032-08-01,Всего,63420.48329250547
2032-09-01,Всего,61345.77946020142
2032-10-01,Всего,64985.13796743505
2032-11-01,Всего,62383.57792510551
2032-12-01,Всего,63157.564381254415
2033-01-01,Всего,57865.51920293203
2033-02-01,Всего,54288.67453222509
2033-03-01,Всего,63606.26001964441
2033-04-01,Всего,59436.77050758467
2033-05-01,Всего,60686.69087079134
2033-06-01,Всего,55671.76907234182
2033-07-01,Всего,57270.76552452361
2033-08-01,Всего,57561.37303414674
2033-09-01,Всего,55467.94984933108
2033-10-01,Всего,59051.86387474722
2033-11-01,Всего,56434.003028632396
2033-12-01,Всего,57169.958398379924
2034-01-01,Всего,51870.54048801528
2034-02-01,Всего,49737.87639871015
2034-03-01,Всего,57506.01924315677
2034-04-01,Всего,53327.16374489285
2034-05-01,Всего,54536.75513907734
2034-06-01,Всего,51312.75339554041
2034-07-01,Всего,52763.893798164
2034-08-01,Всего,53413.19185689528
2034-09-01,Всего,52102.93987471878
2034-10-01,Всего,54200.00698786211
2034-11-01,Всего,52662.11154154506
2034-12-01,Всего,53138.75525991906
2035-01-01,Всего,50774.0315402252
2035-02-01,Всего,48986.52737020904
2035-03-01,Всего,54441.23639226561
2035-04-01,Всего,52261.54411535425
2035-05-01,Всего,52953.63735543316
2035-06-01,Всего,50537.614000677626
2035-07-01,Всего,51966.83322349471
2035-08-01,Всего,52606.32287260021
2035-09-01,Всего,51315.863785198875
2035-10-01,Всего,53381.2522370835
2035-11-01,Всего,51866.58850738146
2035-12-01,Всего,52336.03196268289
2036-01-01,Всего,50007.03017158972
2036-02-01,Всего,48246.52835106709
2036-03-01,Всего,53618.83758806598
2036-04-01,Всего,51472.07212253597
2036-05-01,Всего,52153.710481521906
2036-06-01,Всего,49774.1839965941
2036-07-01,Всего,51181.81318476696
2036-08-01,Всего,51811.64259179175
2036-09-01,Всего,50540.677404247865
2036-10-01,Всего,52574.86573825129
2036-11-01,Всего,51083.08278280456
2036-12-01,Всего,51545.43474346215
