cargo,split,model,RMSE,MAE,MAPE,status
Всего,1,GradBoost,2996.3661303150675,2567.9069346766996,2.555186784060322,ok
Всего,1,RandomForest,4117.690515604589,3352.9590608412714,3.3760746962390127,ok
Всего,1,Ridge,3486.1248462894305,2852.153294561369,2.8378781078352597,ok
Всего,1,SARIMA,2146.075750187809,1621.9672969861888,1.6110908826880057,ok
Всего,1,ETS,3841.077790720529,3297.5044010989823,3.2304237881602,ok
Всего,2,GradBoost,4226.136921485905,3595.823565032346,3.3538155162862284,ok
Всего,2,RandomForest,3142.5676093695547,2563.442077610632,2.3719799317229753,ok
Всего,2,Ridge,4125.105304857105,3362.4296556707923,3.1200051242292677,ok
Всего,2,SARIMA,2909.1514119807252,2367.0380396331125,2.2071585526830697,ok
Всего,2,ETS,3305.5477753063537,2791.5374446069795,2.6182725221052583,ok
Всего,3,GradBoost,3587.2136528768738,2605.993163754662,2.5303640225265047,ok
Всего,3,RandomForest,4646.634036036642,3553.5878595903446,3.471398201467087,ok
Всего,3,Ridge,5374.383910116614,4179.7403060366005,4.059356970216062,ok
Всего,3,SARIMA,3386.5105079310874,2567.8680284212605,2.487329170920982,ok
Всего,3,ETS,5212.159684841192,4501.316716190241,4.3187535119291045,ok
Всего,4,GradBoost,4191.297574757833,3230.1550441795393,3.0270006346447236,ok
Всего,4,RandomForest,3543.484378627759,2956.9912476592854,2.8141449491363724,ok
Всего,4,Ridge,3844.9699086860282,3331.6815097806775,3.2037130550638526,ok
Всего,4,SARIMA,3343.2441916707626,2596.8694667138097,2.4514722987455047,ok
Всего,4,ETS,3826.4872182287922,3047.159550717885,2.9275103837237606,ok
Всего,5,GradBoost,2915.077843929599,2365.1687260938857,2.366747114223226,ok
Всего,5,RandomForest,5243.110379715571,4291.899609632049,4.355254071597843,ok
Всего,5,Ridge,6278.628472285157,5236.751573344126,5.2958911840312615,ok
Всего,5,SARIMA,4837.18268088228,4188.862070793709,4.116641127903029,ok
Всего,5,ETS,4896.649593627573,3866.438677771583,3.8966738938173666,ok
Уголь каменный,1,GradBoost,1440.9273605133515,1149.5219870606259,4.161217966425919,ok
Уголь каменный,1,RandomForest,1247.2802669587154,871.18779205814,3.1509791308129746,ok
Уголь каменный,1,Ridge,1119.1429699774874,826.0134149529031,3.0682430993885745,ok
Уголь каменный,1,SARIMA,1012.3447656252389,634.9122201135805,2.371943165719821,ok
Уголь каменный,1,ETS,1135.4057751871449,769.3562354434235,2.8671111253713537,ok
Уголь каменный,2,GradBoost,1876.2054436420992,1697.1450549273206,5.450546467164651,ok
Уголь каменный,2,RandomForest,2521.3819729031634,2369.55257833348,7.639702162875812,ok
Уголь каменный,2,Ridge,2453.5670677100343,2217.238037477699,7.189843953497619,ok
Уголь каменный,2,SARIMA,1662.684374937078,1402.7328204646783,4.565947310951945,ok
Уголь каменный,2,ETS,2001.7940669199465,1666.0534437919662,5.403342962246019,ok
Уголь каменный,3,GradBoost,2477.46930187064,1989.195529624949,6.912929715937155,ok
Уголь каменный,3,RandomForest,2620.38553753817,2113.7077580829537,7.348351809518743,ok
Уголь каменный,3,Ridge,3996.950215711367,3518.8318920591905,12.030106592565458,ok
Уголь каменный,3,SARIMA,3130.708753422637,2564.682489617313,8.803815783880857,ok
Уголь каменный,3,ETS,1417.357701004095,1234.5077161798233,4.075579003729724,ok
Уголь каменный,4,GradBoost,1669.5295261293363,1427.0984509651016,4.75768973768419,ok
Уголь каменный,4,RandomForest,1644.7775109051981,1344.4204518446284,4.565355944902294,ok
Уголь каменный,4,Ridge,1768.8625868926142,1499.2959170459892,5.031674895772328,ok
Уголь каменный,4,SARIMA,1069.408029658966,824.0492583428709,2.6935736118023126,ok
Уголь каменный,4,ETS,1323.155784558336,1040.4830717169443,3.4133316402737917,ok
Уголь каменный,5,GradBoost,1893.372534971963,1568.1940732389437,5.643846086590992,ok
Уголь каменный,5,RandomForest,2694.8359563019853,2410.293568557231,8.70795280171155,ok
Уголь каменный,5,Ridge,3044.0335210139638,2587.8149956889088,9.34891846534736,ok
Уголь каменный,5,SARIMA,1740.6144117254698,1399.2261217518437,5.0439047605804666,ok
Уголь каменный,5,ETS,1659.467422613738,1303.9787513072017,4.641398137003525,ok
