year,route,cargo,traffic_type,containerization,distance_km,class_coeff,cargo_coeff,traffic_coeff,container_coeff,tariff_index,volume_mln_t,revenue_base_bln_rub
2026,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2027,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2028,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2029,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2030,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2031,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2032,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2033,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2034,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2035,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2036,ВЕЛИКИЙ НОВГОРОД -> АВТОВО,Удобрения,Внутр. перевозки,Конт.,893.0,1.0,1.1,1.0,1.08,1.1880000000000002,0.0,0.0
2026,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,26.68314403716765,28.699844322913414
2027,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,25.870748925589346,27.826048746255868
2028,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,22.039474213380075,23.705207977058695
2029,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,17.223383780430325,18.52511954826639
2030,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,14.40509640017809,15.493827247861136
2031,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,5.927841558864309,6.37586521563299
2032,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,5.564278131074811,5.984823823939069
2033,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,5.14039449681139,5.528903251106818
2034,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,3.185646054378295,3.4264157814839433
2035,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,3.1616398021509706,3.4005951472760287
2036,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,3.1520332272177463,3.3902625116362444
2026,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,2.2235953364306376,2.3916536935761177
2027,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,3.122331766881473,3.358316227996398
2028,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,6.611842264014022,7.111562393117607
2029,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,10.764614862768955,11.578199717666495
2030,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,12.347225485866936,13.280423355309548
2031,ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,Экспорт,Конт.,879.0,1.0,1.1,1.03,1.08,1.2236400000000003,19.75947186288103,21.25288405210996
