route,cargo,revenue_base_bln_rub
ХИМЗАВОДСКАЯ -> ВЫШЕСТЕБЛИЕВСКАЯ-ЭКСПОРТ,Остальные грузы,114.3661742414659
НОВОКУЙБЫШЕВСКАЯ -> ТУАПСЕ-СОРТИРОВОЧНАЯ (ЭКСП.),Нефтяные грузы,51.66270856585265
ТЕРЕНТЬЕВСКАЯ -> ВАНИНО (ЭКСП.),Уголь каменный,46.3893252722443
НОВОТРОИЦК -> НАВАШИНО,Черные металлы,39.09934815666645
АБАКАН -> ЗАБАЙКАЛЬСК-Э (КИТАЙ),Руды всякие,38.448038147635664
ФЛЮСОВАЯ -> ЧЕРЕПОВЕЦ II,Остальные грузы,34.97785987111665
ЕРУНАКОВО -> МУРМАНСК (ЭКСП.),Уголь каменный,28.00087237491432
ЗАИНСК -> ВЫШЕСТЕБЛИЕВСКАЯ-ЭКСПОРТ,Остальные грузы,26.596784707317646
ВЕЛИКИЙ НОВГОРОД -> АВТОВО (ЭКСП.),Удобрения,22.036706325635592
nan -> nan,nan,15.879048098399998
ХИМЗАВОДСКАЯ -> ВЫШЕСТЕБЛИЕВСКАЯ-ЭКСПОРТ,Удобрения,15.256181302363101
РЕЧНАЯ -> НАВАШИНО,Минерально-строит.,14.838969739688864
НОВОКУЙБЫШЕВСКАЯ -> НОВОРОССИЙСК (ЭКСП.),Нефтяные грузы,14.760773875957904
ВЕЛИКИЙ НОВГОРОД -> ВОЛХОВСТРОЙ II,Минерально-строит.,12.365808116407386
ТЫРГАН -> НАХОДКА-ВОСТОЧНАЯ (ЭКСП.),Уголь каменный,11.251810553266195
КАШПИР -> ВЫШЕСТЕБЛИЕВСКАЯ (НАЛИВ)(ЭКСП.),Нефтяные грузы,11.070580406968425
ЗАГОРОДНЯЯ -> ТУАПСЕ-СОРТИРОВОЧНАЯ (ЭКСП.),Нефтяные грузы,11.070580406968425
БАЗАИХА -> ЗАБАЙКАЛЬСК-Э (КИТАЙ),Лесные грузы,10.577938422529517
ПИРИТ -> КОШТА,Удобрения,7.716788349746935
КАРТАЛЫ I (ЭКСП.) -> ВЫШЕСТЕБЛИЕВСКАЯ-ЭКСПОРТ,Уголь каменный,6.465562048513747
