year,network_volume_mln_t,Base,Conservative,Upside,base_yoy_pct,vol_yoy_pct
2026,1086.0326257455008,881.8442392445713,821.1733555845448,972.1450893432155,,
2027,1042.6149300485374,846.5022828375558,788.2629257783319,933.1841166001216,-4.007732299446798,-3.9978260935908394
2028,996.4696733026846,808.6721870784128,753.0355406074179,891.4802190352424,-4.468989219064234,-4.425915591262886
2029,945.2573610582546,767.0038395862949,714.2339754227578,845.5450327599316,-5.152687103368558,-5.139374896848858
2030,889.5262448633538,722.2897891916701,672.5962516952832,796.2522636048973,-5.829703592975832,-5.895866934324367
2031,829.1453057937551,674.8396027065407,628.4106380403307,743.9431780236905,-6.5694112245767595,-6.787988484687613
2032,764.1433447921884,675.0619920761225,628.6177270212852,744.1883400647175,0.03295440408206396,-7.839634446140808
2033,694.5115979152804,614.7165648174448,572.4240651580046,677.6635410547512,-8.939242316559405,-9.112393290010868
2034,636.572007728497,564.7620232103362,525.906396013465,622.5936543870746,-8.126434924027759,-8.342494259376076
2035,623.4274833626065,553.5558790870778,515.4712346058867,610.2400011055945,-1.9842240913364173,-2.0648919849295067
2036,614.0098791566994,545.5042492665074,507.9735569169717,601.3638843913978,-1.4545288244159016,-1.510617426602845
